QuestionID,ChapterID,SubtopicID,QuestionNo,Question,OptionA,OptionB,OptionC,OptionD,Year,Answer,Explanation,HasImage
8692,31,104,25,Identify the correct order of the size of the following:,$\mathrm{Ca}^{2+}<\mathrm{K}^{+}<\mathrm{Ar}<\mathrm{Cl}^{-}<\mathrm{S}^{2-}$,$\mathrm{Ar}<\mathrm{Ca}^{2+}<\mathrm{K}^{+}<\mathrm{Cl}^{-}<\mathrm{S}^{2-}$,$\mathrm{Ca}^{2+}<\mathrm{Ar}<\mathrm{K}^{+}<\mathrm{Cl}^{-}<\mathrm{S}^{2-}$,$\mathrm{Ca}^{2+}<\mathrm{K}^{+}<\mathrm{Ar}<\mathrm{S}^{2-}<\mathrm{Cl}^{-}$,2007-01-01,a,"For isoelectronic species, size of anion increases as negative charge increases whereas size of cation decreases with increase in positive charge. Further ionic radii of anions is more than that of cations. Thus the correct order is $\mathrm{Ca}^{2+}<\mathrm{K}^{+}<\mathrm{Ar}<\mathrm{Cl}^{-}<\mathrm{S} 2-$",False
8721,32,105,8,Which of the following pairs will form the most stable ionic bond?,$\mathrm{Na}$ and $\mathrm{Cl}$,$\mathrm{Mg}$ and $\mathrm{F}$,Li and F,$\mathrm{Na}$ and $\mathrm{F}$,1994-01-01,b,The stability of the ionic bond depends upon the lattice energy which is expected to be more between $\mathrm{Mg}$ and $\mathrm{F}$ due to +2 charge on $\mathrm{Mg}$ atom.,False
8757,32,108,44,Maximum bond angle at nitrogen is present in which of the following?,$\mathrm{NO}_{2}^{-}$, $\mathrm{NO}_{2}^{+}$,$\mathrm{NO}_{3}^{-}$,$\mathrm{NO}_{2}$,2015-01-01,b,$\mathrm{NO}_{2}{ }^{+}$has $s p$ hybridisation so it is linear with bond angle $=180^{\circ}$.,False
8830,32,109,117,. Among the following the pair in which the two species are not isostructural is,(a) $\mathrm{SiF}_{4}$ and $\mathrm{SF}_{4}$,(b) $\mathrm{IO}_{3}^{-}$and $\mathrm{XeO}_{3}$,(c) $\mathrm{BH}_{4}^{-}$and $\mathrm{NH}_{4}^{+}$,(d) $\mathrm{PF}_{6}^{-}$and $\mathrm{SF}_{6}$,2004-01-01,a,(a) $\mathrm{SiF}_{4}$ has symmetrical tetrahedral shape which is due to $s p^{3}$ hybridisation of silicon atom in its excited state while $\mathrm{SF}_{4}$ has distorted tetrahedral or sea-saw geometry which arises due to $s p^{3} d$ hybridisation of sulphur atom and one lone pair of $e^{-} s$ in one of the equatorial hybrid orbital.,False
8858,33,110,16,"At constant temperature, for a given mass of an ideal gas",(a) The ratio of pressure and volume always remains constant.,(b) Volume always remains constant.,(c) Pressure always remains constant.,(d) The product of pressure and volume always remains constant.,1991-01-01,d," According to Boyle's law at constant temperature, $P \propto \frac{1}{V}$ or $P V=$ constant",False
9088,36,125,13,"For the redox reaction    
$\mathrm{MnO}_4^{-}+\mathrm{C}_2 \mathrm{O}_4^{2-}+\mathrm{H}^{+} \rightarrow \mathrm{Mn}^{2+}+\mathrm{CO}_2+\mathrm{H}_2 \mathrm{O}$
The correct coefficients of the reactants for the balanced equation are    $\begin{array}{llll} & \mathrm{MnO}_4^{-} & \mathrm{C}_2 \mathrm{O}_4^{2-} & \mathrm{H}^{+}\\",\text {(a) } & 16 & 5 & 2 \\ ,\text { (b) } & 2 & 5 & 16 \\ ,\text { (c) } & 5 & 16 & 2 \\ ,\text { (d) } & 2 & 16 & 5\end{array}$,2018-01-01,b,"13. (b)
Multiplying (i) by 2 and (ii) by 5 to balance $\mathrm{e}^{-}$
$2 \mathrm{MnO}_4^{-}+5 \mathrm{C}_2 \mathrm{O}_4^{2-} \longrightarrow 2 \mathrm{Mn}^{2+}+10 \mathrm{CO}_2$
On balancing charge;
$$
\begin{aligned}
& 2 \mathrm{MnO}_4^{-}+5 \mathrm{C}_2 \mathrm{O}_4^{2-}+16 \mathrm{H}^{+} \longrightarrow \\
& 2 \mathrm{Mn}^{2+}+10 \mathrm{CO}_2+8 \mathrm{H}_2 \mathrm{O}
\end{aligned}
$$",False
9149,38,132,34,"The correct order of increasing thermal stability of $\mathrm{K}_2 \mathrm{CO}_3, \mathrm{MgCO}_3, \mathrm{CaCO}_3$ and $\mathrm{BeCO}_3$ is ",(a) $\mathrm{BeCO}_3<\mathrm{MgCO}_3<\mathrm{CaCO}_3<\mathrm{K}_2 \mathrm{CO}_3$,(b) $\mathrm{MgCO}_3<\mathrm{BeCO}_3<\mathrm{CaCO}_3<\mathrm{K}_2 \mathrm{CO}_3$,(c) $\mathrm{K}_2 \mathrm{CO}_3<\mathrm{MgCO}_3<\mathrm{CaCO}_3<\mathrm{BeCO}_3$,(d) $\mathrm{BeCO}_3<\mathrm{MgCO}_3<\mathrm{K}_2 \mathrm{CO}_3<\mathrm{CaCO}_3$,2007-01-01,a,"As the cation size increases down the group, the metal carbonates become more ionic in nature. Hence, the thermal stability increases as: $\mathrm{BeCO}_3<\mathrm{MgCO}_3<\mathrm{CaCO}_3$.
The ionic character of group 1 carbonates is more than that of group 2, thus they possess more thermal stability. Hence, the correct order of thermal stability: $\mathrm{BeCO}_3<\mathrm{MgCO}_3<\mathrm{CuCO}_3$ $<\mathrm{K}_2 \mathrm{CO}_3$.",False
9220,40,136,26,An $s p^{3}$ hybrid orbital contains,(a) 1/4s-character,(b) $1 / 2 s$-character,(c) 1/3s-character,(d) $2 / 3 s$-character.,1991-01-01,a, $s p^{3}$ orbital has $1 / 4(25 \%) s$-character \& $75 \%$ $p$-character.,False
9391,43,147,25,". $\mathrm{CsBr}$ crystallises in a body centered cubic lattice. The unit cell length is $436.6 \mathrm{pm}$. Given that the atomic mass of $\mathrm{Cs}=133$ and that of $\mathrm{Br}=80 \mathrm{amu}$ and Avogadro number being $6.02 \times 10^{23} \mathrm{~mol}^{-1}$, the density of $\mathrm{CsBr}$ is",(a) $0.425 \mathrm{~g} / \mathrm{cm}^3$,(b) $8.25 \mathrm{~g} / \mathrm{cm}^3$,(c) $4.25 \mathrm{~g} / \mathrm{cm}^3$,(d) $42.5 \mathrm{~g} / \mathrm{cm}^3$,2006-01-01,c,"
25. (c) In body centred cubic lattice one molecule of $\mathrm{CsBr}$ is within one unit cell.
Atomic mass of unit cell $=133+80=213$ a.m.u
Volume of cell $=\left(436.6 \times 10^{-10}\right)^3 \mathrm{~cm}^3$
$$
\begin{aligned}
\text { Density } & =\frac{Z \times \text { at.wt. }}{\text { Av.no. } \times \text { vol.of unit cell }} \\
\text { Density } & =\frac{1 \times 213}{6.02 \times 10^{23} \times(436.6)^3 \times 10^{-30}} \\
& =\frac{213 \times 10^7}{6.02 \times(436.6)^3}=4.25 \mathrm{~g} / \mathrm{cm}^3
\end{aligned}
$$
In the density formula, $\mathrm{Z}$ is number of particles present in a unit cell and $\mathrm{M}$ is molar mass of that particle. For any diatomic molecule like $\mathrm{CsBr}, \mathrm{Z}=$ 2 but for any mono atomic molecule like $\mathrm{Li}, \mathrm{Z}=1$ for bcc lattice.",True
9449,44,151,43, $200 \mathrm{~mL}$ of an aqueous solution of a protein contains its $1.26 \mathrm{~g}$. The osmotic pressure of this solution at $300 \mathrm{~K}$ is found to be $2.57 \times 10^{-3}$ bar. The molar mass of protein will be $\left(\mathrm{R}=0.083 \mathrm{Lbar} \mathrm{mol}^{-1} \mathrm{~K}^{-1}\right)$,(a) $51022 \mathrm{~g} \mathrm{~mol}^{-1}$,(b) $122044 \mathrm{~g} \mathrm{~mol}^{-1}$,(c) $31011 \mathrm{~g} \mathrm{~mol}^{-1}$,(d) $61038 \mathrm{~g} \mathrm{~mol}^{-1}$,2011-01-01,d,"$\pi=C R T$ (Osmotic pressure)

$\pi=\frac{\text { wt } \times 1000}{\text { Molecular mass } \times V} R T=2.57 \times 10^{-3}$

$=\frac{1.26 \times 1000}{\text { Mol.mass } \times 200} \times 0.083 \times 300$

Molecular mass $=\frac{1.26 \times 0.083 \times 300 \times 1000}{200 \times 2.57 \times 10^{-3}}$

$$
=61038 \mathrm{~g} \mathrm{~mol}^{-1}
$$
",False
9464,44,151,58,"If $0.1 \mathrm{M}$ solution of glucose and $0.1 \mathrm{M}$ solution of urea are placed on two sides of the semipermeable membrane to equal heights, then it will be correct to say th",(a) There will be no net movement across the membrane ,(b) Glucose will flow towards urea solution,(c) urea will flow towards glucose solution,(d) water will flow from urea solution to glucose,1992-01-01,a,58. (a) As both the solutions are isotonic hence there will be no net movement of the solvent through the semipermeable membrane between two solutions.,False
9524,45,154,58,"An electrochemical cell is set up as: $\mathrm{Pt} ; \mathrm{H}_{2}$ (1atm) $\left|\mathrm{HCl}(0.1 \mathrm{M}) \| \mathrm{CH}_{3} \mathrm{COOH}(0.1 \mathrm{M})\right| \mathrm{H}_{2}$ (1atm); Pt. The e.m.f of this cell will not be zero, because",(a) the temperature is constant,(b) e.m.f depends on molarities of acids used,(c) acids used in two compartments are different,(d) $\mathrm{pH}$ of $0.1 \mathrm{M} \mathrm{HCl}$ and $0.1 \mathrm{M} \mathrm{CH}_{3} \mathrm{COOH}$ is not same,1995-01-01,d,"For a concentration cell having different concentrations of ions.

$$
E=\frac{0.0591}{\mathrm{n}} \log \frac{\mathrm{C}_{1}}{\mathrm{C}_{2}}
$$

If all the concentrations are identical then obviously the cell voltage is zero. But as the $\mathrm{pH}$ of $0.1 \mathrm{M} \mathrm{HCl}$ (strong acid) \& $\mathrm{pH}$ of $0.1 \mathrm{M}$ $\mathrm{CH}_{3} \mathrm{COOH}$ (weak acid) is not same, therefore the cell voltage will not be zero.
",False
9578,46,158,47,". For a reaction, activation energy $E_a=0$ and the rate constant at $200 \mathrm{~K}$ is $1.6 \times 10^6 \mathrm{~s}^{-1}$. The rate constant at $400 \mathrm{~K}$ will be [Given that gas constant, $\mathrm{R}=8.314 \mathrm{~J} \mathrm{~K}^{-1} \mathrm{~mol}^{-1}$ ]",(a) $3.2 \times 10^6 \mathrm{~s}^{-1}$,(b) $3.2 \times 10^4 \mathrm{~s}^{-1}$,(c) $1.6 \times 10^6 \mathrm{~s}^{-1}$,(d) $1.6 \times 10^3 \mathrm{~s}^{-1}$,2019-01-01,c,". (c) From Arrhenius equation
$$
\log \frac{k_{400}}{k_{200}}=\frac{E_a}{2.303 \mathrm{R}}\left[\frac{T_2-T_1}{T_1 T_2}\right]
$$
Since, given that $E_a=0$
$$
\begin{aligned}
& \therefore \quad \log \frac{k_{400}}{k_{200}}=0 \\
& \Rightarrow \frac{k_{400}}{k_{200}}=1 \\
& \text { So, } k_{400}=k_{200}
\end{aligned}
$$
So, $k_{400}=k_{200}$
So rate constant at $400, k=1.6 \times 10^6 \mathrm{~s}^{-1}$",False
9663,49,165,29,. Pure nitrogen is prepared in the laboratory by heating a mixture of,(a) $\mathrm{NH}_4 \mathrm{OH}+\mathrm{NaCl}$,(b) $\mathrm{NH}_4 \mathrm{NO}_3+\mathrm{NaCl}$,(c) $\mathrm{NH}_4 \mathrm{Cl}+\mathrm{NaOH}$,(d) $\mathrm{NH}_4 \mathrm{Cl}+\mathrm{NaNO}_2$.,1991-01-01,d,". (d) Pure nitrogen in the lab can be obtained by heating ammonium nitrate. Ammonium nitrate is not a stable compound it dissociate to give nitrogen.
$$
\begin{aligned}
\mathrm{NH}_4 \mathrm{Cl}+\mathrm{NaNO}_2 \stackrel{\text { Heat }}{\longrightarrow} \mathrm{NH}_4 \mathrm{NO}_2 \\
\stackrel{\text { Heat }}{\longrightarrow} \mathrm{N}_2+2 \mathrm{H}_2 \mathrm{O} .
\end{aligned}
$$",True
9736,50,169,6,Which is the correct order of increasing energy of the listed orbitals in the atom of titanium?,(a) $3 s 4 s 3 p 3 d$,(b) $4 s 3 s 3 p 3 d$,(c) $3 s 3 p 3 d 4 s$,(d) $3 s 3 p 4 s 3 d$,2015-01-01,d,"d) $(n+l)$ rule can be used. Titanium is a multi electron system

If $(n+l)$ values are same, then value of "" $n$ "" has to be considered. The orbital with lower $n$ value is filled first.",True
9847,51,172,33,"Among the following, the compound that is both paramagnetic and coloured, is",$\mathrm{KMnO}_4$, $\mathrm{CuF}_2$,$\mathrm{K}_4\left[\mathrm{Fe}(\mathrm{CN})_6\right]$,$\mathrm{K}_2 \mathrm{Cr}_2 \mathrm{O}_7$,1996-01-01,b,$\mathrm{CuF}_2$ is both paramagnetic and coloured due to unpaired electron in $d$-orbital $\left(3 d^9 4 s^0\right)$.,False
9925,52,175,24,"An organic compound $A\left(\mathrm{C}_4 \mathrm{H}_9 \mathrm{Cl}\right)$ on reaction with $\mathrm{Na}$ /diethyl ether gives a hydrocarbon which on monochlorination gives only one chloro derivative, then $A$ is",tert-butyl chloride,sec-butyl chloride,isobutyl chloride,n-butyl chloride,2001-01-01,a,"<smiles>CC(C)(C)[Cl+][14C](C)(C)C</smiles>
t-Butyl chloride
突|京
<smiles>CC(C)(C)C(C)(C)CC(Cl)(Cl)C(C)(Cl)C(C)(C)C(C)(C)C</smiles>",True
9953,52,177,52,"Trichloroacetaldehyde, $\mathrm{CCl}_3 \mathrm{CHO}$ reacts with chlorobenzene in presence of sulphuric acid and produces:",IMG,IMG,IMG,IMG,2009-01-01,c,NaN,True
10058,54,182,40,"When $m$-chlorobenzaldehyde is treated with $50 \%$ $\mathrm{KOH}$ solution, the product(s) obtained is (are)",<smiles>Oc1cccc(C(O)C(O)c2cccc(O)c2)c1</smiles>,"<smiles>O=C([O-])c1cccc(O)c1</smiles>
<smiles>OCc1cccc(O)c1</smiles>",<smiles>O=C([O-])c1cccc(CO)c1</smiles>,"<smiles>OC(O)c1cccc(Cl)c1</smiles>
<smiles>OC(O)c1cccc(Cl)c1</smiles>
<smiles>OC(O)c1cccc(Cl)c1</smiles>",2003-01-01,c,"40. (c) It is a simple Cannizzaro reaction.
<smiles>O=Cc1cccc(Cl)c1</smiles>
<smiles>O=C([O-])c1cccc(Cl)c1</smiles>
<smiles>OCc1cccc(Cl)c1</smiles>",True
10113,54,183,95,"In which of the following, the number of carbon atoms does not remain same when carboxylic acid is obtained by oxidation",$\mathrm{CH}_3 \mathrm{COCH}_3$,$\mathrm{CCl}_3 \mathrm{CH}_2 \mathrm{CHO}$,$\mathrm{CH}_3 \mathrm{CH}_2 \mathrm{CH}_2 \mathrm{OH}$,$\mathrm{CH}_3 \mathrm{CH}_2 \mathrm{CHO}$.,1992-01-01,a,"95. (a) Ketones on oxidation give carboxylic acids with lesser number of carbon atoms, i.e.,
$$
\mathrm{CH}_3 \mathrm{COCH}_3 \stackrel{[\mathrm{O}]}{\longrightarrow} \mathrm{CH}_3 \mathrm{COOH}+\mathrm{CO}_2+\mathrm{H}_2 \mathrm{O}
$$",True
10230,56,190,60,Deficiency of vitamin $\mathrm{B}_{1}$ causes the disease,Convulsions,Beri-Beri,Cheilosis, Sterility,2012-01-01,b, Beri-Beri. ,False
10232,56,190,62,Which one of the following is an amine hormone?,Thyroxine,Oxypurin ,Insulin,Progesterone,2008-01-01,a,Thyroxine is an amino hormone.,False
10447,61,202,102,In fungi stored food material is,glycogen,starch,sucrose,glucose,2000-01-01,a,"Glycogen is a glucosan homopolysaccharide which is the major reserve food of animals, fungi and some bacteria. Starch is also glucosan homopolysaccharide and is the major reserve food of plants. Sucrose is formed of one molecule of glucose and one molecule of fructose.",False
10572,62,208,86,"Read the following five statements (A to $\mathrm{E}$ ) and select the option with all correct statements :

(A) Mosses and Lichens are the first organisms to colonise a bare rock.
(B) Selaginella is a homosporous pteridophyte
(C) Coralloid roots in Cycas have VAM
(D) Main plant body in bryophytes is gametophytic, whereas in pteridophytes it is sporophytic
(E) In gymnosperms, male and female gametophytes are present within sporangia located on sporophyte","(a) (B), (C) and (D)","(b) (a), (D) and (E)","(c) (B), (C) and (E)"," (d) (a), (C) and (D)",2015-01-01,b,"Selaginella is a heterosporus pteridophyte containing micro \& megaspores. In Cycas, corolloid root has the cyanobacteria - Anabaena.",False
10618,62,209,132,Pinus differs from mango in having,(a) tree habit,(b) green leaves,(c) ovules not enclosed in ovary,(d) wood,1993-01-01,c,"Pinus is a member of gymnosperm in which ovules are not enclosed in the ovary i.e. naked seed, whereas mango is a typical
angiosperm whose ovules are enclosed in ovary i.e., presence of fruit.",False
10840,64,219,57," The wheat grain has an embryo with one, large, shield-shaped cotyledon known as:", Coleorrhiza,Scutellum,Coleoptile,Epiblast,2015-01-01,b," Scutellum is large, shield shaped cotyledon that helps in the absorption of nutrients from endosperm during germination.",False
10934,65,222,45,What happens during vascularization in plants?,(a) Differentiation of procambium is immediately followed by the development of secondary xylem and phloem,(b) Differentiation of procambium followed by the development of xylem and phloem,"(c) Differentiation of procambium, xylem and phloem is simultaneous",(d) Differentiation of procambium followed by the development of primary phloem and then by primary xylem,2000-01-01,b,"Vascularization of plant means the development of vascular bundle in the plant, which develops from the cambium",False
10973,65,224,84,Heartwood differs from sapwood in:,(a) presence of rays and fibres,(b) absence of vessels and parenchyma,(c) having dead and non-conducting elements,(d) being susceptible to pests and pathogens,2010-01-01,c," Heartwood differs from sapwood in having dead and non-conducting elements. In old trees, the inner region that comprises dead elements with highly lignified walls is called heartwood.Heartwood does not conduct water but gives mechanical support to the stem. On the other hand, the peripheral region, which is lighter in colour is called sapwood. It is involved in the conduction of water and minerals from root to leaf.",False
11054,67,230,9,Resolution power is the ability to,distinguish two close points,distinguish two close objects,distinguish amongst organelles,magnify image,1991-01-01,b,The ability to distinguish two close objects is called power of resolution.,False
11105,67,321,60,Which one of the following has its own DNA?,mitochondria, Dictyosome,Lysosome,Peroxisome,2010-01-01,a,"Mitochondria has its own DNA. It is a structure within cytoplasm of eukaryotic cells that carries out aerobic respiration. It is the site of Kreb's cycle and ETS.Therefore, it is also called as cell's energy production site",False
11154,67,321,109,Ribosomes were discovered by,Golgi,Porter,De Robertis,Palade,1991-01-01,d,Ribosomes were discovered by Robinson and Brown in plant cell and Palade in animal cell.,False
11168,68,233,4,"Enzymes, vitamins and hormones can be classified into a single category of biological chemicals, because all of these?",(a) help in regulating metabolism,(b) are exclusively synthesized in the body of a living organism as at present,(c) are conjugated proteins,(d) enhance oxidative metabolism,2005-01-01,a,4. (a) The major life processes are controlled by enzymes as they enhance the rate of biological reactions.Vitamins are required in limited amounts by organisms for regulation of metabolism and growth.Hormones are organic compounds produced by certain organs in small quantities. They act physiologically far from their site of origin.,False
11382,71,247,12,Which one of the following is essential for photolysis of water?,Manganese,Zinc,Copper,Boron,2011-01-01,a,"Photolysis is catalysed by the proteinbound inorganic complex containing manganese ions (oxygen evolving complex) of photosystem II.Photolysis is the process by which water is split into oxygen, which is released into the atmosphere, and hydrogen. The hydrogen then becomes bonded to the coenzyme NADP to form NADPH and is transferred to the Calvin Cycle along with ATP.",False
11393,71,247,23,Which one of the following is not an essential element for plants?,Potassium,Iron,Iodine,Zinc,1996-01-01,c,"Iodine is the only such element which is an essential mineral for animals but is not required by plants.The natural iodine content in soil is low. While iodine is not an essential nutrient for plant growth, fertilizing with iodine derivatives has been shown to aid in biomass production and increase the antioxidant levels in plants which provide drought and stress resistance.",False
11465,72,251,41, Cytochrome is,(a) Metallo - Flavo protein,(b) Fe-containing porphyrin pigment,(c) Glycoprotein,(d) Lipid,2001-01-01,b, Cytochrome is an iron containing porphyrin pigment. These are electron transferring proteins often regarded as enzymes,False
11569,73,255,49,Krebs cycle occurs in,mitochondria,cytoplasm,chloroplasts,ribosomes,1996-01-01,a,"(a) Krebs cycle is the sequence of reactions by which most living cells generate energy during the process of aerobic respiration. It takes place in the mitochondria, using up oxygen and producing carbon dioxide and water as waste products, and ADP is converted to energy-rich ATP.",False
12295,83,283,107,The fleshy receptacle of syconus of fig encloses a number of:,Achenes,Samaras ,Berries,Mericarps,2008-01-01,a,(a) The fleshy receptacle of syconus of fig encloses a number of Achenes. Achene is the thin dry pericarp is free from seed except at one point. The fruit develops from a monocarpellary pistil having superior unilocular and ovuled ovary.,False
12520,86,291,84,Radioactive thymidine when added to the medium surrounding living mammalian cells gets incorporated into the newly synthesized DNA. Which of the following types of chromatin is expected to become radioactive if cells are exposed to radioactive thymidine as soon as they enter the S-phase?,(a) Heterochromatin,(b) Euchromatin,(c) Both heterochromatin and euchromatin,(d) Neither heterochromatin nor euchromatin but only the nucleolus,1999-01-01,b,"84. (b) Heterochromatin is a specialised chromosome material which remains tightly coiled and stains darkly in interphase. Euchromatin is that portion of the chromosome that stains with low intensity and uncoils during interphase. In the beginning of S-sphase, DNA replication occurs. DNA replication can occur in diffuse/ less tightly coiled euchromatin.",False
12636,86,293,200,Genes located on Y-chromosome are,(a) mutant genes,(b) sex-linked genes,(c) autosomal genes,(d) holandric genes,1994-01-01,d,200. (d) Holandric genes are present on the differential region of the $\mathrm{Y}$ chromosome. The differential regions carry completely sex linked genes and they do not undergo crossing over.,False
13304,92,310,60,"The figure below shows three steps (A, B, C) of Polymerase Chain Reaction (PCR). Select the option giving correct identification together with what it represents?",B - Denaturation at a temperature of about $98^{\circ} \mathrm{C}$ separating the two DNA strands., A - Denaturation at a temperature of about $50^{\circ} \mathrm{C}$.,$\mathrm{C}$ - Extension in the presence of heat stable DNA polymerase.,A - Annealing with two sets of primers.,2012-01-01,c,"PCR is a technique for enzymatically replicating DNA without using a living organism such as $E$. coli or yeast.The correct steps shown in the above figure are: A - Denaturation at a temperature of about $94^{\circ}$ to $98^{\circ} \mathrm{C}$. During the denaturation, the double stranded DNA open to single stranded DNA, and all enzymatic reactions stop.
B - Annealing (binding of DNA primer to the separated strands. Occurs at $50^{\circ}$ to $65^{\circ} \mathrm{C}$, which is lower than the optimal temperature of the DNA polymerases)
$\mathrm{C}$ - Extension or elongation of the strands using the DNA primer with heat-stable DNA polymerases, most frequently Taq (Thermus aquaticus) at $72^{\circ} \mathrm{C}$.
PCR is commonly used in medical and biological research labs for a variety of tasks like detection of hereditary diseases, identification of genetic fingerprints etc.",True
13365,94,313,5,Benthic organisms are affected most by,(a) Water-holding capacity of soil,(b) Light reaching the forest floor,(c) Surface turbulence of water,(d) Sediment characteristics of aquatic ecosystems,2013-01-01,d,"(d) The sediment characteristics often determine the type of benthic animals that can thrive there. The benthic zone is one of the ecological regions of a body of water. It comprises the bottomsuch as the ocean floor or the bottom of a lakethe sediment surface, and some sub-surface layers. Organisms living in this zone-that is, on or in the bottom of the body of water-are called benthos.",False
13457,95,315,6,The mass of living material at a trophic level at a particular time is called :,(a) Standing state,(b) Net primary productivity,(c) Standing crop,(d) Gross primary productivity,2015-01-01,c,(c) Standing crop is the amount of living biomass in an ecosystem. It indicates the productivity and luxuriance of growth. It is expressed in the form of number or biomass of organisms per unit area.,False
13519,95,316,68,The pyramid which cannot be inverted in a stable ecosystem is that of,(a) Biomass,(b) Number,(c) Energy,(d) All the above,1995-01-01,c,"(c) Energy pyramid cannot be inverted because energy always flows in one direction only. According to $10 \%$ law of energy transfer given by Lindemann (1972), during transfer of energy from one trophic level to other there is always loss of energy in respiration and other activities. Only $10 \%$ of energy is transfered to net trophic level. So the amount of energy flow decreases with successive trophic levels.",False
13632,97,320,14,Which of the following is a secondary pollutant?,(a) $\mathrm{CO}$,(b) $\mathrm{CO}_2$,(c) PAN,(d) Aerosol,1999-01-01,c, Primary pollutant is that which persists in the form in which it is released in the environment eg. CO. A secondary pollutant is one which is formed from another pollutant due to change or reaction. e.g. PAN (Peroxy acytyl nitrate).,False
13709,97,323,91,The UN Conference of Parties on climate change in the year 2011 was held in :,(a) South Africa,(b) Peru,(c) Qatar,(d) Poland,2015-01-01,a,"The UN Conference of Parties on climate change in 2011, was held in Durban, South Africa. It aimed at decrease of pollutant emission.",False
13739,97,323,121,Green house effect is warming due to,(a) Infra-red rays reaching earth,(b) Moisture layer in atmosphere,(c) Increase in temperature due to increase in carbon dioxide concentration of atmosphere,(d) Ozone layer of atmosphere,1991-01-01,c,Increase in the concentration of $\mathrm{CO}_2$ do not allow the earth's radiations to go out of earth's atmosphere and contributes in increasing temperature of earth.,False
